cveID,dateAdded,vendorProject,product,cvss,epss,risk,exploit,ransomCampaign
CVE-2021-1906,2021-11-03,Qualcomm,Multiple Chipsets,6.2,0.00149,Medium,Yes,Unknown
CVE-2021-28310,2021-11-03,Microsoft,Win32k,7.8,0.52619,High,Yes,Unknown
CVE-2017-8759,2021-11-03,Microsoft,.NET Framework,7.8,0.93965,High,Yes,Unknown
CVE-2020-14883,2021-11-03,Oracle,WebLogic Server,7.2,0.94439,High,Yes,Unknown
CVE-2021-30633,2021-11-03,Google,Chromium Indexed DB API,9.6,0.38157,Medium,No,Unknown
CVE-2021-41773,2021-11-03,Apache,HTTP Server,7.5,0.94377,High,Yes,Known
CVE-2021-31755,2021-11-03,Tenda,AC11 Router,9.8,0.94261,Critical,Yes,Unknown
CVE-2021-21985,2021-11-03,VMware,vCenter Server,9.8,0.94412,Critical,Yes,Known
CVE-2021-26411,2021-11-03,Microsoft,Internet Explorer,8.8,0.92473,High,Yes,Known
CVE-2020-8655,2021-11-03,EyesOfNetwork,EyesOfNetwork,7.8,0.81622,High,Yes,Unknown
CVE-2021-1732,2021-11-03,Microsoft,Win32k,7.8,0.90423,High,Yes,Known
CVE-2019-0803,2021-11-03,Microsoft,Win32k,7.8,0.90302,High,Yes,Unknown
CVE-2020-9819,2021-11-03,Apple,"iOS, iPadOS, and watchOS",4.3,0.00196,Low,No,Unknown
CVE-2021-26858,2021-11-03,Microsoft,Exchange Server,7.8,0.55064,High,Yes,Known
CVE-2018-8653,2021-11-03,Microsoft,Internet Explorer,7.5,0.22985,Medium,No,Unknown
CVE-2020-8657,2021-11-03,EyesOfNetwork,EyesOfNetwork,9.8,0.86393,High,Yes,Unknown
CVE-2020-8644,2021-11-03,PlaySMS,PlaySMS,9.8,0.92716,Critical,Yes,Unknown
CVE-2021-37973,2021-11-03,Google,Chromium Portals,9.6,0.06371,Medium,No,Unknown
CVE-2021-34527,2021-11-03,Microsoft,Windows,8.8,0.94274,High,Yes,Known
CVE-2020-6207,2021-11-03,SAP,Solution Manager,9.8,0.94152,Critical,Yes,Unknown
CVE-2015-4852,2021-11-03,Oracle,WebLogic Server,9.8,0.92463,Critical,Yes,Unknown
CVE-2021-1879,2021-11-03,Apple,"iOS, iPadOS, and watchOS",6.1,0.01503,Medium,No,Unknown
CVE-2019-18988,2021-11-03,TeamViewer,Desktop,7.0,0.1041,Medium,Yes,Unknown
CVE-2017-9822,2021-11-03,DotNetNuke (DNN),DotNetNuke (DNN),8.8,0.94293,High,Yes,Known
CVE-2020-17530,2021-11-03,Apache,Struts,9.8,0.94362,Critical,Yes,Unknown
CVE-2020-6820,2021-11-03,Mozilla,Firefox and Thunderbird,8.1,0.04997,Medium,No,Unknown
CVE-2021-28664,2021-11-03,Arm,Mali Graphics Processing Unit (GPU),8.8,0.00153,Medium,Yes,Unknown
CVE-2020-0601,2021-11-03,Microsoft,Windows,8.1,0.94102,High,Yes,Unknown
CVE-2020-5902,2021-11-03,F5,BIG-IP,9.8,0.94426,Critical,Yes,Known
CVE-2020-1054,2021-11-03,Microsoft,Win32k,7.8,0.82335,High,Yes,Unknown
CVE-2017-9248,2021-11-03,Progress,ASP.NET AJAX and Sitefinity,9.8,0.87802,High,Yes,Unknown
CVE-2021-1675,2021-11-03,Microsoft,Windows,7.8,0.94314,High,Yes,Known
CVE-2021-27085,2021-11-03,Microsoft,Internet Explorer,8.8,0.01619,Medium,No,Unknown
CVE-2019-15752,2021-11-03,Docker,Desktop Community Edition,7.8,0.44567,Medium,Yes,Unknown
CVE-2018-0798,2021-11-03,Microsoft,Office,8.8,0.94056,High,Yes,Unknown
CVE-2020-1380,2021-11-03,Microsoft,Internet Explorer,7.8,0.91733,High,No,Unknown
CVE-2021-36742,2021-11-03,Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",7.8,0.01869,Medium,No,Unknown
CVE-2019-5544,2021-11-03,VMware,VMware ESXi and Horizon DaaS,9.8,0.92688,Critical,Yes,Known
CVE-2017-0199,2021-11-03,Microsoft,Office and WordPad,7.8,0.94327,High,Yes,Known
CVE-2021-21017,2021-11-03,Adobe,Acrobat and Reader,8.8,0.90641,High,Yes,Unknown
CVE-2018-18325,2021-11-03,DotNetNuke (DNN),DotNetNuke (DNN),7.5,0.91084,High,Yes,Unknown
CVE-2021-20021,2021-11-03,SonicWall,SonicWall Email Security,9.8,0.90152,Critical,Yes,Known
CVE-2021-28550,2021-11-03,Adobe,Acrobat and Reader,8.8,0.32051,Medium,No,Unknown
CVE-2015-1641,2021-11-03,Microsoft,Office,7.8,0.93624,High,Yes,Unknown
CVE-2019-6223,2021-11-03,Apple,iOS and macOS,7.5,0.00165,Medium,No,Unknown
CVE-2021-30632,2021-11-03,Google,Chromium V8,8.8,0.84934,High,Yes,Unknown
CVE-2020-24557,2021-11-03,Trend Micro,"Apex One, OfficeScan, and Worry-Free Business Security",7.8,0.01876,Medium,No,Unknown
CVE-2020-12271,2021-11-03,Sophos,SFOS,9.8,0.88937,High,No,Known
CVE-2019-1653,2021-11-03,Cisco,Small Business RV320 and RV325 Routers,7.5,0.94378,High,Yes,Unknown
CVE-2017-7269,2021-11-03,Microsoft,Internet Information Services (IIS),9.8,0.94429,Critical,Yes,Unknown
CVE-2021-30858,2021-11-03,Apple,"iOS, iPadOS, and macOS",8.8,0.00794,Medium,Yes,Unknown
CVE-2021-27065,2021-11-03,Microsoft,Exchange Server,7.8,0.94256,High,Yes,Known
CVE-2020-14750,2021-11-03,Oracle,WebLogic Server,9.8,0.94438,Critical,Yes,Unknown
CVE-2020-3992,2021-11-03,VMware,ESXi,9.8,0.82694,High,Yes,Known
CVE-2021-20090,2021-11-03,Arcadyan,Buffalo Firmware,9.8,0.94401,Critical,Yes,Unknown
CVE-2021-27562,2021-11-03,Arm,Trusted Firmware,5.5,0.53151,High,No,Unknown
CVE-2018-11776,2021-11-03,Apache,Struts,8.1,0.94431,High,Yes,Unknown
CVE-2020-10199,2021-11-03,Sonatype,Nexus Repository,8.8,0.94379,High,Yes,Unknown
CVE-2021-31207,2021-11-03,Microsoft,Exchange Server,6.6,0.93908,High,Yes,Known
CVE-2021-36948,2021-11-03,Microsoft,Windows,7.8,0.00971,Medium,No,Unknown
CVE-2019-3396,2021-11-03,Atlassian,Confluence Server and Data Server,9.8,0.94471,Critical,Yes,Known
CVE-2021-22502,2021-11-03,Micro Focus,Operation Bridge Reporter (OBR),9.8,0.93981,Critical,No,Unknown
CVE-2020-17496,2021-11-03,vBulletin,vBulletin,9.8,0.94222,Critical,Yes,Unknown
CVE-2021-33771,2021-11-03,Microsoft,Windows,7.8,0.10647,Medium,No,Unknown
CVE-2019-0541,2021-11-03,Microsoft,MSHTML,8.8,0.80937,High,Yes,Unknown
CVE-2021-26855,2021-11-03,Microsoft,Exchange Server,9.1,0.94326,Critical,Yes,Known
CVE-2021-30762,2021-11-03,Apple,iOS,8.8,0.00049,Medium,No,Unknown
CVE-2021-36955,2021-11-03,Microsoft,Windows,7.8,0.23788,Medium,Yes,Known
CVE-2021-21206,2021-11-03,Google,Chromium Blink,8.8,0.21907,Medium,No,Unknown
CVE-2020-17144,2021-11-03,Microsoft,Exchange Server,8.4,0.92725,High,Yes,Unknown
CVE-2020-10148,2021-11-03,SolarWinds,Orion,9.8,0.94304,Critical,Yes,Unknown
CVE-2021-21166,2021-11-03,Google,Chromium,8.8,0.37976,Medium,No,Unknown
CVE-2020-6819,2021-11-03,Mozilla,Firefox and Thunderbird,8.1,0.00329,Medium,No,Unknown
CVE-2019-0708,2021-11-03,Microsoft,Remote Desktop Services,9.8,0.94456,Critical,Yes,Unknown
CVE-2021-38648,2021-11-03,Microsoft,Open Management Infrastructure (OMI),7.8,0.31792,Medium,No,Unknown
CVE-2021-22893,2021-11-03,Ivanti,Pulse Connect Secure,10.0,0.9349,Critical,Yes,Known
CVE-2019-4716,2021-11-03,IBM,Planning Analytics,9.8,0.91546,Critical,Yes,Unknown
CVE-2020-11652,2021-11-03,SaltStack,Salt,6.5,0.94265,High,Yes,Unknown
CVE-2021-1782,2021-11-03,Apple,Multiple Products,7.0,0.07901,Medium,Yes,Unknown
CVE-2018-2380,2021-11-03,SAP,Customer Relationship Management (CRM),6.6,0.45533,Medium,Yes,Known
CVE-2021-30860,2021-11-03,Apple,Multiple Products,7.8,0.72863,High,Yes,Unknown
CVE-2020-25506,2021-11-03,D-Link,DNS-320 Device,9.8,0.9384,Critical,No,Unknown
CVE-2019-19356,2021-11-03,Netis,WF2419 Devices,7.5,0.91088,High,Yes,Unknown
CVE-2019-9082,2021-11-03,ThinkPHP,ThinkPHP,8.8,0.94218,High,Yes,Unknown
CVE-2020-1020,2021-11-03,Microsoft,Windows,8.8,0.87984,High,Yes,Unknown
CVE-2018-20062,2021-11-03,ThinkPHP,noneCms,9.8,0.94307,Critical,Yes,Unknown
CVE-2021-1498,2021-11-03,Cisco,HyperFlex HX,9.8,0.94012,Critical,No,Unknown
CVE-2020-0938,2021-11-03,Microsoft,Windows,7.8,0.89406,High,No,Unknown
CVE-2021-30665,2021-11-03,Apple,Multiple Products,8.8,0.00654,Medium,No,Unknown
CVE-2014-1812,2021-11-03,Microsoft,Windows,8.8,0.79908,High,Yes,Unknown
CVE-2020-5735,2021-11-03,Amcrest,Cameras and Network Video Recorder (NVR),8.8,0.61634,High,Yes,Unknown
CVE-2020-29583,2021-11-03,Zyxel,Multiple Products,9.8,0.94367,Critical,Yes,Unknown
CVE-2021-22986,2021-11-03,F5,BIG-IP and BIG-IQ Centralized Management,9.8,0.94485,Critical,Yes,Known
CVE-2021-1497,2021-11-03,Cisco,HyperFlex HX,9.8,0.94396,Critical,Yes,Unknown
CVE-2021-42258,2021-11-03,BQE,BillQuick Web Suite,9.8,0.93664,Critical,No,Known
CVE-2017-11882,2021-11-03,Microsoft,Office,7.8,0.94384,High,Yes,Known
CVE-2021-27102,2021-11-03,Accellion,FTA,7.8,0.00383,Medium,No,Known
CVE-2020-8515,2021-11-03,DrayTek,Multiple Vigor Routers,9.8,0.94357,Critical,Yes,Unknown
CVE-2018-15961,2021-11-03,Adobe,ColdFusion,9.8,0.94393,Critical,Yes,Unknown
CVE-2019-5591,2021-11-03,Fortinet,FortiOS,6.5,0.56819,High,Yes,Unknown
CVE-2019-0604,2021-11-03,Microsoft,SharePoint,9.8,0.94441,Critical,Yes,Known
CVE-2018-7600,2021-11-03,Drupal,Drupal Core,9.8,0.94489,Critical,Yes,Known
CVE-2021-30713,2021-11-03,Apple,macOS,7.8,0.00142,Medium,No,Unknown
CVE-2021-27103,2021-11-03,Accellion,FTA,9.8,0.0213,Medium,No,Known
CVE-2019-0859,2021-11-03,Microsoft,Win32k,7.8,0.09881,Medium,Yes,Unknown
CVE-2019-2215,2021-11-03,Android,Android Kernel,7.8,0.49667,Medium,Yes,Unknown
CVE-2020-15505,2021-11-03,Ivanti,MobileIron Multiple Products,9.8,0.94388,Critical,No,Unknown
CVE-2020-10221,2021-11-03,rConfig,rConfig,8.8,0.91391,High,Yes,Unknown
CVE-2018-4939,2021-11-03,Adobe,ColdFusion,9.8,0.76803,High,No,Unknown
CVE-2021-21220,2021-11-03,Google,Chromium V8,8.8,0.92595,High,Yes,Unknown
CVE-2019-18187,2021-11-03,Trend Micro,OfficeScan,7.5,0.78453,High,No,Unknown
CVE-2021-30657,2021-11-03,Apple,macOS,5.5,0.76259,High,Yes,Unknown
CVE-2017-11774,2021-11-03,Microsoft,Office,7.8,0.82853,High,Yes,Unknown
CVE-2021-33742,2021-11-03,Microsoft,Windows,7.5,0.72116,High,No,Unknown
CVE-2016-3718,2021-11-03,ImageMagick,ImageMagick,5.5,0.83834,High,Yes,Unknown
CVE-2021-31979,2021-11-03,Microsoft,Windows,7.8,0.14365,Medium,No,Unknown
CVE-2021-38645,2021-11-03,Microsoft,Open Management Infrastructure (OMI),7.8,0.14607,Medium,No,Unknown
CVE-2019-16759,2021-11-03,vBulletin,vBulletin,9.8,0.94407,Critical,Yes,Unknown
CVE-2021-21193,2021-11-03,Google,Chromium Blink,8.8,0.148,Medium,Yes,Unknown
CVE-2021-1905,2021-11-03,Qualcomm,Multiple Chipsets,8.4,0.01054,Medium,Yes,Unknown
CVE-2020-0968,2021-11-03,Microsoft,Internet Explorer,7.5,0.33411,Medium,No,Unknown
CVE-2012-0158,2021-11-03,Microsoft,MSCOMCTL.OCX,8.8,0.94319,High,Yes,Unknown
CVE-2016-3715,2021-11-03,ImageMagick,ImageMagick,5.5,0.79798,High,Yes,Unknown
CVE-2020-8196,2021-11-03,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",4.3,0.70664,Medium,Yes,Unknown
CVE-2019-17026,2021-11-03,Mozilla,Firefox and Thunderbird,8.8,0.64805,High,Yes,Unknown
CVE-2021-21972,2021-11-03,VMware,vCenter Server,9.8,0.93821,Critical,Yes,Known
CVE-2021-21148,2021-11-03,Google,Chromium V8,8.8,0.19904,Medium,Yes,Unknown
CVE-2021-33739,2021-11-03,Microsoft,Windows,8.4,0.19488,Medium,Yes,Unknown
CVE-2021-40539,2021-11-03,Zoho,ManageEngine,9.8,0.94424,Critical,Yes,Known
CVE-2020-14871,2021-11-03,Oracle,Solaris and Zettabyte File System (ZFS),10.0,0.88872,High,Yes,Unknown
CVE-2021-30663,2021-11-03,Apple,Multiple Products,8.8,0.01108,Medium,No,Unknown
CVE-2020-0986,2021-11-03,Microsoft,Windows,7.8,0.2065,Medium,No,Unknown
CVE-2021-20022,2021-11-03,SonicWall,SonicWall Email Security,7.2,0.32596,Medium,No,Known
CVE-2021-38647,2021-11-03,Microsoft,Open Management Infrastructure (OMI),9.8,0.94392,Critical,Yes,Known
CVE-2021-42013,2021-11-03,Apache,HTTP Server,9.8,0.9441,Critical,Yes,Known
CVE-2020-0688,2021-11-03,Microsoft,Exchange Server,8.8,0.94396,High,Yes,Known
CVE-2021-27101,2021-11-03,Accellion,FTA,9.8,0.00984,Medium,No,Known
CVE-2020-0674,2021-11-03,Microsoft,Internet Explorer,7.5,0.93656,High,Yes,Unknown
CVE-2021-35211,2021-11-03,SolarWinds,Serv-U,9.0,0.94321,Critical,Yes,Known
CVE-2020-0041,2021-11-03,Android,Android Kernel,7.8,0.23865,Medium,Yes,Unknown
CVE-2021-31956,2021-11-03,Microsoft,Windows,7.8,0.90724,High,Yes,Unknown
CVE-2021-34473,2021-11-03,Microsoft,Exchange Server,9.1,0.9423,Critical,Yes,Known
CVE-2020-14882,2021-11-03,Oracle,WebLogic Server,9.8,0.94454,Critical,Yes,Unknown
CVE-2021-30551,2021-11-03,Google,Chromium V8,8.8,0.80643,High,Yes,Unknown
CVE-2019-11510,2021-11-03,Ivanti,Pulse Connect Secure,10.0,0.94434,Critical,Yes,Known
CVE-2020-8467,2021-11-03,Trend Micro,Apex One and OfficeScan,8.8,0.30162,Medium,No,Unknown
CVE-2019-18935,2021-11-03,Progress,Telerik UI for ASP.NET AJAX,9.8,0.93583,Critical,Yes,Known
CVE-2020-6418,2021-11-03,Google,Chromium V8,8.8,0.85051,High,Yes,Unknown
CVE-2019-13608,2021-11-03,Citrix,StoreFront Server,7.5,0.75369,High,No,Known
CVE-2016-0185,2021-11-03,Microsoft,Windows,7.8,0.82752,High,Yes,Unknown
CVE-2020-16010,2021-11-03,Google,Chrome for Android UI,8.8,0.26319,Medium,No,Unknown
CVE-2020-5849,2021-11-03,Unraid,Unraid,7.5,0.93763,High,Yes,Unknown
CVE-2020-3952,2021-11-03,VMware,vCenter Server,9.8,0.94355,Critical,Yes,Unknown
CVE-2021-27059,2021-11-03,Microsoft,Office,7.6,0.02045,Medium,No,Unknown
CVE-2020-3580,2021-11-03,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),6.1,0.92623,High,Yes,Known
CVE-2018-0802,2021-11-03,Microsoft,Office,7.8,0.93888,High,Yes,Unknown
CVE-2020-0878,2021-11-03,Microsoft,Edge and Internet Explorer,4.2,0.09821,Low,No,Known
CVE-2010-5326,2021-11-03,SAP,NetWeaver,10.0,0.16904,Medium,No,Unknown
CVE-2017-16651,2021-11-03,Roundcube,Roundcube Webmail,7.8,0.38274,Medium,Yes,Unknown
CVE-2017-6327,2021-11-03,Symantec,Symantec Messaging Gateway,8.8,0.77325,High,Yes,Unknown
CVE-2019-20085,2021-11-03,TVT,NVMS-1000,7.5,0.94186,High,Yes,Unknown
CVE-2020-3161,2021-11-03,Cisco,Cisco IP Phones,9.8,0.83148,High,Yes,Unknown
CVE-2021-26857,2021-11-03,Microsoft,Exchange Server,7.8,0.34542,Medium,Yes,Known
CVE-2020-26919,2021-11-03,NETGEAR,JGS516PE Devices,9.8,0.94178,Critical,No,Unknown
CVE-2018-14558,2021-11-03,Tenda,"AC7, AC9, and AC10 Routers",9.8,0.76772,High,No,Unknown
CVE-2019-15949,2021-11-03,Nagios,Nagios XI,8.8,0.87053,High,Yes,Unknown
CVE-2016-9563,2021-11-03,SAP,NetWeaver,6.5,0.58435,High,No,Unknown
CVE-2021-30554,2021-11-03,Google,Chromium WebGL,8.8,0.02094,Medium,No,Unknown
CVE-2021-1870,2021-11-03,Apple,"iOS, iPadOS, and macOS",9.8,0.01151,Medium,No,Unknown
CVE-2020-16013,2021-11-03,Google,Chromium V8,8.8,0.26139,Medium,No,Unknown
CVE-2016-3235,2021-11-03,Microsoft,Office,7.8,0.81164,High,Yes,Unknown
CVE-2021-34448,2021-11-03,Microsoft,Windows,6.8,0.02015,Medium,No,Unknown
CVE-2021-30661,2021-11-03,Apple,Multiple Products,8.8,0.00157,Medium,No,Unknown
CVE-2020-4428,2021-11-03,IBM,Data Risk Manager,9.1,0.92289,Critical,No,Unknown
CVE-2020-8193,2021-11-03,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",6.5,0.94177,High,Yes,Unknown
CVE-2021-36942,2021-11-03,Microsoft,Windows,7.5,0.93551,High,No,Known
CVE-2019-11634,2021-11-03,Citrix,Workspace Application and Receiver for Windows,9.8,0.53412,High,No,Known
CVE-2021-30563,2021-11-03,Google,Chromium V8,8.8,0.03591,Medium,No,Unknown
CVE-2020-0646,2021-11-03,Microsoft,.NET Framework,9.8,0.93865,Critical,Yes,Unknown
CVE-2016-4437,2021-11-03,Apache,Shiro,9.8,0.94214,Critical,Yes,Unknown
CVE-2019-1215,2021-11-03,Microsoft,Windows,7.8,0.08083,Medium,Yes,Known
CVE-2021-30807,2021-11-03,Apple,Multiple Products,7.8,0.17401,Medium,Yes,Unknown
CVE-2020-10189,2021-11-03,Zoho,ManageEngine,9.8,0.94248,Critical,Yes,Unknown
CVE-2020-0069,2021-11-03,MediaTek,Multiple Chipsets,7.8,0.00708,Medium,Yes,Unknown
CVE-2018-15811,2021-11-03,DotNetNuke (DNN),DotNetNuke (DNN),7.5,0.91142,High,Yes,Unknown
CVE-2020-9818,2021-11-03,Apple,"iOS, iPadOS, and watchOS",8.8,0.00252,Medium,No,Unknown
CVE-2020-3950,2021-11-03,VMware,Multiple Products,7.8,0.19652,Medium,Yes,Unknown
CVE-2020-8468,2021-11-03,Trend Micro,"Apex One, OfficeScan and Worry-Free Business Security Agents",8.8,0.18378,Medium,No,Unknown
CVE-2021-22005,2021-11-03,VMware,vCenter Server,9.8,0.94457,Critical,Yes,Known
CVE-2021-21224,2021-11-03,Google,Chromium V8,8.8,0.54319,High,Yes,Unknown
CVE-2021-1647,2021-11-03,Microsoft,Defender,7.8,0.7775,High,Yes,Unknown
CVE-2020-2555,2021-11-03,Oracle,Multiple Products,9.8,0.93141,Critical,Yes,Unknown
CVE-2020-9859,2021-11-03,Apple,Multiple Products,7.8,0.00168,Medium,No,Unknown
CVE-2020-8243,2021-11-03,Ivanti,Pulse Connect Secure,7.2,0.21058,Medium,No,Unknown
CVE-2021-34523,2021-11-03,Microsoft,Exchange Server,9.0,0.93947,Critical,Yes,Known
CVE-2020-12812,2021-11-03,Fortinet,FortiOS,9.8,0.45022,Medium,No,Known
CVE-2019-11580,2021-11-03,Atlassian,Crowd and Crowd Data Center,9.8,0.94386,Critical,Yes,Unknown
CVE-2019-1214,2021-11-03,Microsoft,Windows,7.8,0.03681,Medium,No,Unknown
CVE-2020-8195,2021-11-03,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",6.5,0.71441,High,Yes,Unknown
CVE-2020-16009,2021-11-03,Google,Chromium V8,8.8,0.84383,High,No,Unknown
CVE-2020-27932,2021-11-03,Apple,Multiple Products,7.8,0.113,Medium,No,Unknown
CVE-2020-16846,2021-11-03,SaltStack,Salt,9.8,0.94387,Critical,Yes,Unknown
CVE-2019-0211,2021-11-03,Apache,HTTP Server,7.8,0.89451,High,Yes,Unknown
CVE-2020-25213,2021-11-03,WordPress,File Manager Plugin,10.0,0.9442,Critical,Yes,Unknown
