domain,MX_found,SPF,SPF_valid,SPF_secure,DMARC,DMARC_valid,DMARC_secure,DKIM,DKIM_selector,DKIM_valid,DNSSEC_signed
agricultura.gov.br,True,v=spf1 include:spf.protection.outlook.com include:spf.messagelabs.com a:smtp-relay-aws.agro.gov.br mx ip4:201.57.198.128/25 ip4:54.94.71.131 ip4:201.57.198.200 -all,True,True,v=DMARC1; p=reject; rua=mailto:abuse@agricultura.gov.br; ruf=mailto:abuse@agricultura.gov.br; sp=reject; fo=0,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAo+rZchWA6TPWHo1nywj1qxdsOqeCwJEL0hASBOOZRA7YnLz9LD7rlhF/Sh+oCahiTbDWvkmPDFV0MdLrttG3Ks30Xp5BhX+g7SS0MjC/adPgRmSLplAQEQLgqSJgfEdEzf1DgwUF39Cvo1ph7aRQ49yPBcvX3r4V3d0BmOcV9g5OkO51PVeNU5dX9YfK9R2WX"" ""KmY8VOITF4j94eXXGKHocfC6CdQSdEX68AyGN77IUvDihvgNE9TlhVJZs565Qh41I3/LidEKtQOri1+LfdhyzLcUQeAKjQ/uftcdoevRGjltqKihzMGt41OtUf3VfwcMgnYbb4YePdinuJSZ5t7RQIDAQAB;",selector1,True,True
agritempo.gov.br,False,,False,False,,False,False,,,False,False
agro.gov.br,True,v=spf1 ip4:201.57.198.128/25 ip4:161.148.50.251 ip4:54.94.71.131 ip4:161.148.21.192/26 ip4:161.148.50.192/26 ip4:119.8.140.57 ip4:201.57.198.200 include:spf.protection.outlook.com include:spf.messagelabs.com a:smtp-relay-aws.agro.gov.br -all,True,True,v=DMARC1; p=reject; rua=mailto:abuse@agro.gov.br; ruf=mailto:abuse@agro.gov.br; sp=reject; fo=0,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCAyNUnWd0tlQjaKR40ZnvCzeFep0sfuCoitLVozCOJaw/WZ9/FIl7HNS3DL5n6hJWwxmen+GJMuFAloMkD0ibdFS0+6Qt1nUMf/7s+r4duRCPQ7fS+8Oc001NnRK10QRrAxubgNPKsbm7jMJdwiy37Q8rK9tk+/n7A8Kp9h9uLPQIDAQAB,agro,True,True
agroecologia.gov.br,False,,False,False,,False,False,,,False,False
agrolivre.gov.br,False,,False,False,,False,False,,,False,False
agronet-pe.gov.br,False,,False,False,,False,False,,,False,False
agu.gov.br,True,v=spf1 include:servers.mcsv.net include:spf.protection.outlook.com include:spf.tmes.trendmicro.com include:_spf.google.com mx -all,True,True,v=DMARC1; p=quarantine; sp=none;,True,True,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDMZe3s1BVGuGwFyf9+geXeqifbHagy3W/wuoXp5ASr0bsMqWzaAriwQMYNvKjO2RhSK9U6AF2+2MT984xx9Fx2Uqb4Z6ibGdgcNtED2ycf3yU/8GRSHeZDL4xwu0/cTFhYFOmw4YqLrUb+egJI3K9R0XUEPSw2SGBlRREzgkMwOwIDAQAB; n=1024,1453940758,1"" ""469665558",selector1,True,False
ahsul.gov.br,False,,False,False,,False,False,,,False,False
aids.gov.br,True,v=spf1 ip4:189.28.129.173 ip4:189.28.129.174 mx:smtp.aids.gov.br include:spf.messagelabs.com -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; pct=50; aspf=s; adkim=s;fo=1; rf=afrf;ri=259200;rua=mailto:gruporede@aids.gov.br; ruf=mailto:gruporede@aids.gov.br,True,True,,,False,False
al.gov.br,False,,False,False,,False,False,,,False,False
alada.gov.br,True,v=spf1 ip4:155.204.178.98 include:spf.protection.outlook.com ~all,True,True,,False,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyH1UaFzPRCpDcQ1GBjk+iSyOrh7VTIFs0VTtEC+fIKs1MRiomROE8NTHeJYvSmnrGOw9qVJLzZZ+yf/y14uBFXMNV5m2LXG7HCHjg3xL3Mi/jfvp4jHlpPWAbYhTCcFB8Jn6cADan22NDxRih7+7ZJSqERHqUJoj9M4jJDTnhgsOd7VrSjgq1Wd0/Mj1i96rM"" ""LkykGYk/SmJmCKsUivLAHtDXUiccBFHV/thMjSL2dDQ0r6POCXwU1Ce8SFAvV7YVDqmGlJvdOd5qfZVTkVyM2kXyyVauJ54quOFEt0MsRpxR7D7F7Z8SY/+/knnJlLKsert92zVonNVwk3M4Ajs5QIDAQAB;",selector1,True,False
aleam.gov.br,True,v=spf1 mx ip4:177.92.163.132/32 ip4:177.92.163.142/32 -all,True,True,v=DMARC1; p=none; rua=mailto:dmarc@aleam.gov.br; adkim=r; aspf=r,True,False,,,False,False
alemg.gov.br,True,v=spf1 ipv4:177.86.143.130 mx ~all,True,True,,False,False,,,False,True
almg.gov.br,True,v=spf1 ip4:177.86.143.90 ip4:177.86.143.166 ip6:2801:80:1bf0:100::166 ip4:177.86.143.168 ip6:2801:80:1bf0:100::168 ip4:177.86.143.130 ip6:2801:80:1bf0:100::130 mx ~all,True,True,v=DMARC1; p=quarantine; rua=mailto:abuse.email@almg.gov.br; ruf=mailto:abuse.email@almg.gov.br; fo=1,True,True,,,False,True
almoxarifadovirtual.gov.br,False,,False,False,,False,False,,,False,False
am.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,,False,False,,,False,True
amapa.gov.br,True,v=spf1 a mx ip4:177.84.201.239 include:_spf.google.com ~all,True,True,,False,False,,,False,False
amazonasenergia.gov.br,False,,False,False,,False,False,,,False,False
amazonfund-bndes.gov.br,False,,False,False,,False,False,,,False,False
amazonfund.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=reject; aspf=s; adkim=s;,True,True,,,False,False
amazoniafund.gov.br,False,,False,False,,False,False,,,False,False
amazoniafundo-bndes.gov.br,False,,False,False,,False,False,,,False,False
amazoniafundo.gov.br,False,,False,False,,False,False,,,False,False
amazonianfund-bndes.gov.br,False,,False,False,,False,False,,,False,False
amazonianfund.gov.br,False,,False,False,,False,False,,,False,False
amazul.gov.br,True,v=spf1 ip4:187.29.162.0/24 ip4:187.29.11.0/24 -all,True,True,v=DMARC1; p=reject; rua=mailto:ctim.spam@amazul.gov.br; ruf=mailto:ctim.spam@marinha.mil.br; sp=reject; aspf=r,True,True,"v=DKIM1; k=rsa; s=email; "" ""p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArodBOfz2t1WUZyqx577P2AF0NXBdxcRwPJv6FpoSWqI81rWhgT1hogIbo3QDly2gUKZjFd0LmjR8MWadjBIQ010JeJx/Vf1590SaK3zkK7mSmUoAVdI/BW/qcTEeC9XEnyjYbDg9M/1TIUVTzNpFlUqBv5fNkcWCknsWJFuyAqT8chOVk+maQV6blRa5k1bosy/STDLHWnu+hu"" ""FESWBZqGlWicnbLChDXe0g8wqs4/YWpA3LBZXcWQ6LkSrAVRt99q0IN8oPpbs/VACX+6WSDxERJiAh0gXURwZD/d/RZL1vOKW85Bt/2u4cH5fe8+tg7izpCSSh/TyIV5y9ePQBvQIDAQAB",amazul,True,False
an.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,,False,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAs2sfa5kCdTUdbwDzRk9obc8IWWMPj8rOfb5mwmlw08G5wWPDVFfaKXXeHxyq7S7X1XWnEMxdblqaWYgtxZrgoUfXrSp0TRm36VexOlfMElsmYuG9HG6FgF7VBY5moWtC4TiYdCBsl73dfn9CYsJW7kf0UwZz/Fr5OyLZDr5u+EZp21GB1sg2OUag0hAiNac4Q"" ""rOKssL+9unDwZu8+Q6jxEL26lB0L7NR9TZIffofoBdo6dgq0Cmi03o3V2lzq/EIU5m5ml8+b9j2fTW9FuF2gDJRRFt8SrEc+LLdn46rGFruqMMvHsmemSPHhDGPuKPRDilyrklhW6QPKA1IbF/voQIDAQAB;",selector1,True,False
ana.gov.br,True,v=spf1 ip4:177.15.65.174 ip4:177.15.65.172 ip4:161.148.21.192/26 ip4:161.148.50.192/26 include:spf.tmes.trendmicro.com include:spf.protection.outlook.com  mx ~all,True,True,v=DMARC1; p=quarantine,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzgMGe9S71I7rDAfG8gWOKuOIcjp4NCkyl5TtvmaTkYThkuzGBp7kf1b5D7ksmMStbSH9hri7QYIwCMAz6gZH206IFN702a+mo/IO+io+xzN2fmgXMsksnnOvmoMW2wHWuqXSZpRgfY33mfbGuu28zZpyStVXSFoXIh1ob7llq3O5CvQbq38Gav4oi/ZJeTOlf"" ""oNpeg412dikNf+w1LGhLv1FwbX9DJlEYe+YtOthImiNVlmIcFOgnWL8sk19sIcQVt9iwBSIXnL2HTtaHjnsUQAE8CQyuvHCDPlB98D/gogO679cS2BlSCcNyTwIixhCu1MSRBtQFk4lS+r/yQonTQIDAQAB;",selector1,True,True
anac.gov.br,True,v=spf1 mx ip4:189.84.138.148 ip4:189.84.138.136 ip4:189.84.138.170 ip4:189.84.138.130 ip4:200.198.193.30 ip4:177.15.70.130 include:spf.isendservice.com.br include:spf.protection.outlook.com include:spf.serpro.gov.br -all,True,True,v=DMARC1; p=quarantine; rua=mailto:postmaster@anac.gov.br; ruf=mailto:postmaster@anac.gov.br; fo=0; adkim=r; aspf=s; pct=100; rf=afrf; ri=86400,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC6TboFfOVKdhIJJVdy+zmpYLCOWt1FCfYSfGjD7c8ASStmZf9XEey2nVzG0Ka/YEvj7hIHgZhgDy2XeHcE8gtheL/I+xa2Rcdfm4Suw+a3WvZ93IyZSjtPi/tvUNJ4Rscl96m9fKXTNS/8Sirvyfal2ol6n30NjWs7UpeItN7JewIDAQAB,default,True,False
anapost.gov.br,False,,False,False,,False,False,,,False,False
anatel.gov.br,True,v=spf1 mx a:smtp.anatel.gov.br include:spf.tmes.trendmicro.com include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; aspf=s; rua=mailto:87b40672ddd34108b5c67fd66387c036@dmarc-reports.cloudflare.net; ruf=mailto:abuse@anatel.gov.br; pct=100,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDl7cwbRnJI4A9IuX5JovMCOEmQeDg50MaJjGYxLT669j15tqPRLICvN2n8NcgzZlod43qyVsnjXlqSk3Fkf972uv6Ip0RGRovoJThY24BwSj5sLWFYcl4Fy2WoBaZC4oey7z73uSIl4Jo5tim0g6p+VfVINNJPXAwBG4irPOOiFQIDAQAB;,selector1,True,True
ancine.gov.br,True,v=spf1 mx a ip4:167.249.172.77/32 ip4:167.249.172.82/32 a:stratus.ancine.gov.br a:mta2.ancine.gov.br include:spf.protection.outlook.com -all,True,True,,False,False,,,False,True
aneel.gov.br,True,"v=spf1 ip4:200.198.220.178 ip4:200.198.220.179 ip4:200.198.220.214 ip4:200.198.220.215 ip4:52.58.131.9 ip4:200.198.220.237 ip4:200.198.220.238 mx include:spf.protection.outlook.com include:rpost.net include:spf.rpost.net include:spf.comunique-se.com.br -a"" ""ll",True,False,v=DMARC1;  p=quarantine; rua=mailto:471fcb023a9647a28d38be465d4ef966@dmarc-reports.cloudflare.net,True,True,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCaJdmDhbkguyuNiyKnSPAPVQMB/KlUP8+N8S52YXiw70uKiQ7MgzZS/seS7Decu/WBZhLnezcXet2R1xo37nbhXpDwoIOE3w1cO9IKNPRp2mFoNEtii2yrMm0D9Zn2iJhmMdrpxZVN6Ki5EKuCrA60fzRdmvb2C1h2LQCsjWrzlwIDAQAB; n=1024,1453461575,1"" ""469186375",selector1,True,True
anm.gov.br,True,v=spf1 a mx a:anm-gov-br.mail.protection.outlook.com ip4:200.198.193.224/27 ip4:200.198.193.229/27 ip4:200.198.193.240/27 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=reject; rua=mailto:sti.seginfo@anm.gov.br; fo=1,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCsXS//h8i5AO41+T2Tg61+goNr6cgEHiwuGfjwLSW9JwhyHbbX8I/HEHj0YOXPMtgPiYroMMLVghBWwxJLq9oq0UM6DkV+F3N64iQlbu8ufT5t5Scb1eAwUZsiQZwR/ecJhOobALvjwarQwqhr6O7lLhcBNkugQe0fqpHLnCx/jwIDAQAB;,selector1,True,False
anp.gov.br,True,v=spf1 ip4:189.42.200.20 mx include:spf.protection.outlook.com -all,True,True,"v=DMARC1; p=quarantine; pct=100; fo=1; rua=mailto:sti_seginfo@anp.gov.br,mailto:dmarc_agg@vali.email; ruf=mailto:sti_seginfo@anp.gov.br",True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArWiCyjZZW7MAPbqetX/Hr9sKmW+t3fpapw6dJ6zQEII+FG8OkccUW8CDQX+iDNCQhpsE4jFzoLgwQxs2R9geqGcgVXxMgJJM2G+oE2Z25fu3fMOk3YC6PfWhC4qHNg7F7jEfSwA0u/2/8eteFaN1l/qw7sVzJYae80HYteLdgahVlCavV9QoFfa6nP4M7yMnZ"" ""ad6mXeXyBp+jWcNahoHjTHlNB93BD4dMbxmN9x3YmrEd4OWcive+nIWIle8gkYsNPMfKSnqHdAe19qTI0+6vmhEkJDDugrYc+dxQ+OhRW8480DbShDq9T90wTS7b3WfPW2b+TwQdYbp9u3hpV0ohQIDAQAB;",selector1,True,True
anpd.gov.br,True,v=spf1 include:spf.protection.outlook.com ip4:189.9.52.192/28 ip4:20.201.65.77/32 ip4:170.246.252.0/22 ip4:189.9.0.102/32 ip4:189.39.188.243/32 -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; adkim=s; aspf=s; rua=mailto:postmaster@anpd.gov.br; ruf=mailto:postmaster@anpd.gov.br; fo=1; rf=afrf; pct=100,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0xQjUugeWYI0o7AlQl2p80LSJ6L5874vxn636EdvBLNMxU/Q5GzOD6mnKYHP8VPBoOIpg3wg3E52aL2Oljih2DEovS5zo2JYtrU0yWzRG3Yb1Wp1VyLYOWDU7YAKPjGsMrYuIetoPY8U1gqMbwSm38zeA90h063F5s2OvRT9kXqVjGzs+4XBQ6TWTipFcjlxm"" ""mgx/YQ1fiJewZwuXttlf9HMO4Nf8X1prZQlZSK7EMaVOCAOJknF/jAGoJF6uxhDQ8jW6KCzcuNEDFQHfMPEKTlmx2NN10PNjV9yNlJYzq25RIHSvOQjIo1RYou1FmjP9AGwlT15yKP8x1X1Iwe4wQIDAQAB;",selector1,True,False
ans.gov.br,True,v=spf1 ip4:177.47.108.150 ip4:189.42.235.17 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyG+OfCcuVumvYAK1RQq3FHQ9mdrsVJI/0NchQpVJ3s12dNAUQpn1CwenHbbbWCa3YyHtVuAUIXJApBFRF8TFOktLIB/I2zziqTS8bjynT4zCHZOvtPGJi/mqIHVKT2hPw5tFPjjZPq3iq93z5seCKn1Ew5hHQd6ySmRCMYo3hPDwPyL+3Gnu5a8ZDA8vFKYnn"" ""YgplktHO6poVQ2Wq7YROYCOWw8Xx6RWWVPJMpO1WRGRpRh1qQmeZyi87XH4HUp/9D11RD/4Hac0t3Z/5nkhs8Njp9XbpY6PHck6RE7PdyFU7uDdda6C0yW/K3I8MhHn8dDn7X3KQ9H/fH+Qep8EYQIDAQAB;",selector1,True,True
ansn.gov.br,True,v=spf1 ip4:200.156.7.69 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=reject; pct=100; rua=mailto:sysadmin@ansn.gov.br; adkim=r; aspf=r,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuwnYnPyJM0BrGHDEOBC1ugOXCNlw9MH6wLD2SF84oegF4Rj/KwbidYVkwp8w2+DK1OsjOl8TUEMKIqQHX9UOTUXgOJnMPYfyqW2nORfQA86fyKKLkDXcSWKNefIFa1uboDVSaRdt+yXgGKcve2EMfmk13t1JpGGQiip8hZSgWaucgNNxY+H1QvR5aYGmPyKzI"" ""+wWz0qxk6sj2JSORatiV+DRSUjPZgi0N+Axgbds8WibKeawgIuES8OU/QSgil7i3Ha0kEqT/iwUF+I4ekZ7/oFOExJvJ9OWqi+cBC8qC4HhWvSzq/WXP0yhhEo1Fo0b6uB/AZBT6yXyH0/0rwUAsQIDAQAB;",selector1,True,False
antaq.gov.br,True,v=spf1 ip4:189.43.238.101 include:spf.protection.outlook.com include:spf-us.tmes.trendmicro.com include:rp.oracleemaildelivery.com a mx -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; pct=25; rua=mailto:rede@antaq.gov.br; ruf=mailto:rede@antaq.gov.br; aspf=r; adkim=r;,True,True,,,False,False
antt.gov.br,True,v=spf1 mx a:mail.antt.gov.br. include:spf.protection.outlook.com include:_spf.fireeyecloud.com ip4:179.255.58.141 ip4:200.198.195.141 ip4:200.198.195.41 ip4:52.67.151.73 ip4:54.232.20.12 -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; pct=100; rua=mailto:dmarc_agg@vali.email; ruf=mailto:getic@antt.gov.br,True,True,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCng+snRSK/dgRnfxug6HvtI6dsD5RXLKY6i4dyv8jS9hn0tHHkd+nk40VW5+t30dQnWWM1SjB8DBEviy8jUpoQrS1XrqlJt+fkKjXTqOR8zppPbLXpHvLza/EcpnOFId35/ObCGmwaOebcR8kdu1THPyzpqYcksQDjpXmj3XWG6QIDAQAB; n=1024,1457073932,1"" ""472971532",selector1,True,False
anvisa.gov.br,True,v=spf1 a ip4:200.198.216.222 ip4:200.198.216.223 ip4:200.198.216.219 ip4:200.198.216.220 include:spf.messagelabs.com include:spf.protection.outlook.com include:amazonses.com -all,True,True,v=DMARC1; p=quarantine; rua=mailto:dmarc.authfail@anvisa.gov.br; ruf=mailto:dmarc.aggrep@anvisa.gov.br; sp=quarantine; fo=1;,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuneK7cGu6A2M+eEZykMxhiIYvSVli78wM8L2M5A5oOPezm8OqxYLUeuPygrggZE98sHQSphODue/LbJYYvGR6rj+xvwO278eePWhXhZ1XPLRVlp6XXSswfnN+7tlH7EP9RxPVbnZyTxEVO3OPptERJvP+lqt/M+xrMLHk8FGWXyo52/okOJK8B1GQuSUZqLDk"" ""IueAm3ADYyHdryurz/SvVOEe32W1+eiTwsdgRxBFaZuCqryAoCV0ZoCo2bgtmC1xB1ee4b9chGP3pypF5cHBWkWUHNcWP7BuBLCP9EDcNGLQg0nh5DtW+TXuaZZiLOdd0yK+40QeEKnfIgZ474PQQIDAQAB;",selector1,True,True
ap.gov.br,True,v=spf1 a mx ip4:177.84.201.239 ~all,True,True,,False,False,,,False,False
api.gov.br,False,,False,False,,False,False,,,False,False
apostasurpresa.gov.br,False,,False,False,,False,False,,,False,False
app.gov.br,False,,False,False,,False,False,,,False,False
aprendendoaexportar.gov.br,False,,False,False,,False,False,,,False,False
arquitetura.gov.br,False,,False,False,,False,False,,,False,False
