post_title,country,website,group_name,activity,activity_classified,used_fallback,published,discovered,screenshot,post_url
100x100banco.com,VE,100x100banco.com,lockbit,Not Found,Not Found,,2023-01-07 12:09:34.504561,2023-01-07 12:09:34.504561,,
Swift Academies,GB,swiftacademies.org.uk,vicesociety,Not Found,Not Found,,2023-01-07 12:21:30.206202,2023-01-07 12:21:30.206202,,
Duty Free Philippines,PH,dfp.com.ph,vicesociety,Not Found,Not Found,,2023-01-07 12:25:23.091293,2023-01-07 12:25:23.091293,,
Corporate Interiors Inc,,corporate interiors inc,avoslocker,Not Found,Not Found,,2023-01-07 12:30:32.677868,2023-01-07 12:30:32.677868,,
millennia.pro,,millennia.pro,lockbit,Not Found,Not Found,,2023-01-08 11:22:44.132072,2023-01-08 11:22:44.132072,,
asianrecorp.com,,asianrecorp.com,lockbit,Not Found,Not Found,,2023-01-08 19:03:36.568143,2023-01-08 19:03:36.568143,,
River City Science Academy,,river city science academy,karakurt,Not Found,Not Found,,2023-01-09 15:18:32.879839,2023-01-09 15:18:32.879839,https://images.ransomware.live/screenshots/posts/db020a1c00fc070b080b7c2f703bee47.png,https://3f7nxkjway3d223j27lyad7v5cgmyaifesycvmwq7i7cbs23lb6llryd.onion/companies/d21de1c7-286b-485d-bb66-7f889b952eff
Aviacode,,aviacode,0mega,Not Found,Not Found,,2023-01-09 19:24:13.277817,2023-01-09 19:24:13.277817,,
Shelco,,shelco,lorenz,Not Found,Not Found,,2023-01-10 13:41:26.888065,2023-01-10 13:41:26.888065,,
"Thor Specialties, Inc.",,"thor specialties, inc.",lorenz,Not Found,Not Found,,2023-01-10 13:42:07.105272,2023-01-10 13:42:07.105272,,
Fire Rescue Victoria,AU,frv.vic.gov.au,vicesociety,Not Found,Not Found,,2023-01-10 13:42:13.620992,2023-01-10 13:42:13.620992,,
Chestertons Inc.,,chestertons inc.,lorenz,Not Found,Not Found,,2023-01-10 15:22:19.610442,2023-01-10 15:22:19.610442,,
datair.com,,datair.com,lockbit,Not Found,Not Found,,2023-01-10 17:33:58.624841,2023-01-10 17:33:58.624841,,
ADIVA CO. LTD,,adiva co. ltd,mallox,Not Found,Not Found,,2023-01-11 09:22:32.596395,2023-01-11 09:22:32.596395,,
circlevillecourt.com,,circlevillecourt.com,lockbit,Not Found,Not Found,,2023-01-11 11:23:30.873500,2023-01-11 11:23:30.873500,,
Grace Church International,,grace church international,medusa,Not Found,Not Found,,2023-01-11 15:05:52.348863,2023-01-11 15:05:52.348863,,
Integerity Tax,,integerity tax,medusa,Not Found,Not Found,,2023-01-11 15:05:52.348863,2023-01-11 15:05:52.348863,,
A????? ????k,GB,a?????????k.com,play,Not Found,Not Found,,2023-01-11 19:41:42.313942,2023-01-11 19:41:42.313942,,
D???? P??????s,GB,d?????p??????s.de,play,Not Found,Not Found,,2023-01-11 20:39:01.682860,2023-01-11 20:39:01.682860,,
G.W. Becker,,gwbcrane.com,hive,Not Found,Not Found,,2023-01-11 21:19:44.749461,2023-01-11 21:19:44.749461,,
Physician Partners of America,,physician partners of america,snatch,Not Found,Not Found,,2023-01-12 05:22:47.843157,2023-01-12 05:22:47.843157,https://images.ransomware.live/screenshots/posts/27face176c675ed0e24e87a257acbeb9.png,http://hl66646wtlp2naoqnhattngigjp5palgqmbwixepcjyq5i534acgqyad.onion/news.php?id=e066cc94-bca2-4ccb-82cf-8bc3e69f3c0b
IMI Hydronic Engineering,,imi-hydronic.com,ransomhouse,Not Found,Not Found,,2023-01-12 08:38:48.649911,2023-01-12 08:38:48.649911,,
versteden.com,,versteden.com,lockbit,Not Found,Not Found,,2023-01-12 11:19:39.067015,2023-01-12 11:19:39.067015,,
lidestrifoodanddrink.com,,lidestrifoodanddrink.com,lockbit,Not Found,Not Found,,2023-01-12 11:28:34.957002,2023-01-12 11:28:34.957002,,
muellergartenbau.ch,CH,muellergartenbau.ch,lockbit,Not Found,Not Found,,2023-01-12 11:29:21.835749,2023-01-12 11:29:21.835749,,
lloyddowson.co.uk,GB,lloyddowson.co.uk,lockbit,Not Found,Not Found,,2023-01-12 11:29:33.558117,2023-01-12 11:29:33.558117,,
russellfinex.com,,russellfinex.com,lockbit,Not Found,Not Found,,2023-01-12 12:52:46.388651,2023-01-12 12:52:46.388651,,
nuxe.com,,nuxe.com,lockbit,Not Found,Not Found,,2023-01-12 12:54:04.874849,2023-01-12 12:54:04.874849,,
Ruhrpumpen,,ruhrpumpen.com,royal,Not Found,Not Found,,2023-01-12 15:23:51.934669,2023-01-12 15:23:51.934669,,
Chinery and Douglas,,lvcdlaw.com,royal,Not Found,Not Found,,2023-01-12 19:26:22.056481,2023-01-12 19:26:22.056481,,
Trans Maldivian Airways,MV,transmaldivian.com,ransomhouse,Not Found,Not Found,,2023-01-13 02:41:24.423981,2023-01-13 02:41:24.423981,,
fujikura-electronics.co.th,TH,fujikura-electronics.co.th,lockbit,Not Found,Not Found,,2023-01-13 07:18:37.514848,2023-01-13 07:18:37.514848,,
NYCBAR.ORG,,nycbar.org,clop,Not Found,Not Found,,2023-01-13 15:17:04.912613,2023-01-13 15:17:04.912613,https://images.ransomware.live/screenshots/posts/f782f29b1d0ec21779c4f1ae4b1ef618.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/nycbar-org
K2 Sports,,k2sports.com,blackbyte,Not Found,Not Found,,2023-01-14 14:37:47.588936,2023-01-14 14:37:47.588936,,
Samuels and Son Seafood,,samuelsseafood.com,royal,Not Found,Not Found,,2023-01-14 17:23:47.030542,2023-01-14 17:23:47.030542,,
Hills Salvage and Recycling,,hills-motors.co.uk,royal,Not Found,Not Found,,2023-01-14 17:24:43.110015,2023-01-14 17:24:43.110015,,
Central Texas College,,ctcd.edu,vicesociety,Not Found,Not Found,,2023-01-14 17:24:43.991022,2023-01-14 17:24:43.991022,,
Holovis,,holovis.com,ransomhouse,Not Found,Not Found,,2023-01-14 21:32:35.299723,2023-01-14 21:32:35.299723,,
TIMco,GB,timco.co.uk,vicesociety,Not Found,Not Found,,2023-01-14 21:37:00.108020,2023-01-14 21:37:00.108020,,
matrixschools.edu.my,MY,matrixschools.edu.my,lockbit,Not Found,Not Found,,2023-01-14 23:12:43.278428,2023-01-14 23:12:43.278428,,
El Seif Development,,el seif development,mallox,Not Found,Not Found,,2023-01-15 19:51:06.358927,2023-01-15 19:51:06.358927,,
DAYTON PROGRESS,,dayton progress,play,Not Found,Not Found,,2023-01-15 23:19:01.083013,2023-01-15 23:19:01.083013,,
Arnold Clark,,arnold clark,play,Not Found,Not Found,,2023-01-16 02:41:10.780516,2023-01-16 02:41:10.780516,,
fulfilmentmatters.co.uk,GB,fulfilmentmatters.co.uk,lockbit,Not Found,Not Found,,2023-01-16 10:39:24.259648,2023-01-16 10:39:24.259648,,
ak.com.sa,SA,ak.com.sa,lockbit,Not Found,Not Found,,2023-01-16 11:23:50.513240,2023-01-16 11:23:50.513240,,
Yayla Enerji Uretim Turizm ve Insaat Ticaret,,yayla enerji uretim turizm ve insaat ticaret,mallox,Not Found,Not Found,,2023-01-16 11:34:55.562288,2023-01-16 11:34:55.562288,,
politriz.ind.br,BR,politriz.ind.br,lockbit,Not Found,Not Found,,2023-01-16 13:41:42.340079,2023-01-16 13:41:42.340079,,
atcuae.ae,AE,atcuae.ae,lockbit,Not Found,Not Found,,2023-01-16 13:53:25.582257,2023-01-16 13:53:25.582257,,
melody.com.tr,TR,melody.com.tr,lockbit,Not Found,Not Found,,2023-01-16 13:55:25.457616,2023-01-16 13:55:25.457616,,
University of Duisburg-Essen,DE,uni-due.de,vicesociety,Not Found,Not Found,,2023-01-16 13:55:55.131105,2023-01-16 13:55:55.131105,,
Westsächsische Hochschule Zwickau,,fh-zwickau.de,royal,Not Found,Not Found,,2023-01-16 17:31:40.094323,2023-01-16 17:31:40.094323,,
Autodelta,PT,autodelta.pt,royal,Not Found,Not Found,,2023-01-16 21:20:31.540267,2023-01-16 21:20:31.540267,,
ARC,,e-arc.com,blackbyte,Not Found,Not Found,,2023-01-16 22:39:53.837025,2023-01-16 22:39:53.837025,,
R C Stevens Construction,,rcstevens.com,hive,Not Found,Not Found,,2023-01-16 23:15:55.695146,2023-01-16 23:15:55.695146,,
carinya,AU,carinya.nsw.edu.au,royal,Not Found,Not Found,,2023-01-17 13:41:27.042651,2023-01-17 13:41:27.042651,,
Livingston,,livingstonintl.com,royal,Not Found,Not Found,,2023-01-17 23:18:48.006825,2023-01-17 23:18:48.006825,,
K Azarosian Costello,,kazcolaw.com,royal,Not Found,Not Found,,2023-01-18 07:25:33.465796,2023-01-18 07:25:33.465796,,
Alhambra-Eidos,,alhambra-eidos,mallox,Not Found,Not Found,,2023-01-18 15:14:53.137080,2023-01-18 15:14:53.137080,,
duomed.com,,duomed.com,lockbit,Not Found,Not Found,,2023-01-18 19:24:28.529729,2023-01-18 19:24:28.529729,,
tvk.nl,NL,tvk.nl,lockbit,Not Found,Not Found,,2023-01-18 21:17:40.972526,2023-01-18 21:17:40.972526,,
Monmouth College,,monmouthcollege.edu,vicesociety,Not Found,Not Found,,2023-01-20 02:48:51.824027,2023-01-20 02:48:51.824027,,
Aglobis,,aglobis,medusa,Not Found,Not Found,,2023-01-20 15:05:52.348863,2023-01-20 15:05:52.348863,,
flatironssolutions.com,,flatironssolutions.com,lockbit,Not Found,Not Found,,2023-01-20 15:19:24.336153,2023-01-20 15:19:24.336153,,
Guardian Analytics (US),,guardiananalytics.com,daixin,Not Found,Not Found,,2023-01-20 17:35:45.701921,2023-01-20 17:35:45.701921,,
Cadmet,,cadmet.com,royal,Not Found,Not Found,,2023-01-21 03:38:35.225029,2023-01-21 03:38:35.225029,,
A,,a,bianlian,Not Found,Not Found,,2023-01-21 13:33:26.625668,2023-01-21 13:33:26.625668,,
N****,,n****,bianlian,Not Found,Not Found,,2023-01-21 13:33:57.393271,2023-01-21 13:33:57.393271,,
HRL Technology Group,,hrl technology group,bianlian,Not Found,Not Found,,2023-01-21 13:33:57.569993,2023-01-21 13:33:57.569993,,
Pillar Resource Services,CA,pillar.ca,royal,Not Found,Not Found,,2023-01-21 13:34:33.703734,2023-01-21 13:34:33.703734,,
payroll2u.com,SG,payroll2u.com,lockbit,Not Found,Not Found,,2023-01-21 20:49:53.983127,2023-01-21 20:49:53.983127,,
ibb-business-team.de,DE,ibb-business-team.de,lockbit,Not Found,Not Found,,2023-01-22 07:28:01.157308,2023-01-22 07:28:01.157308,,
CloudCall,AU,cloudcall.com.au,vicesociety,Not Found,Not Found,,2023-01-23 11:28:19.718895,2023-01-23 11:28:19.718895,,
emoney Home Loans,AU,emoneyhomeloans.com.au,vicesociety,Not Found,Not Found,,2023-01-23 11:28:19.718895,2023-01-23 11:28:19.718895,,
A?????L S?????????? ????,AT,a?????l s?????????? ????,play,Not Found,Not Found,,2023-01-23 19:20:31.860137,2023-01-23 19:20:31.860137,,
elsan.care,,elsan.care,lockbit,Not Found,Not Found,,2023-01-24 13:52:08.758600,2023-01-24 13:52:08.758600,,
xlntinc.com,US,xlntinc.com,lockbit,Not Found,Not Found,,2023-01-24 15:15:45.205219,2023-01-24 15:15:45.205219,,
First International Food co Ltd,,first international food co ltd,mallox,Not Found,Not Found,,2023-01-25 02:39:34.595135,2023-01-25 02:39:34.595135,,
BOMCALCADO,,bomcalcado,mallox,Not Found,Not Found,,2023-01-25 05:22:23.899708,2023-01-25 05:22:23.899708,,
merlinpcbgroup.com,,merlinpcbgroup.com,lockbit,Not Found,Not Found,,2023-01-25 13:36:36.770772,2023-01-25 13:36:36.770772,,
EightPixelsSquare,GB,eightpixelssquare,medusa,Not Found,Not Found,,2023-01-25 15:05:52.310024,2023-01-25 15:05:52.310024,,
Navnit Group,,navnit group,mallox,Not Found,Not Found,,2023-01-25 23:18:13.238023,2023-01-25 23:18:13.238023,,
ADMIRAL Sportwetten,,admiral sportwetten,play,Not Found,Not Found,,2023-01-26 02:34:09.726690,2023-01-26 02:34:09.726690,,
ServiceMaster,,servicemasterclr.com,royal,Not Found,Not Found,,2023-01-26 14:08:09.223649,2023-01-26 14:08:09.223649,,
IOC,,ioccompany.com,royal,Not Found,Not Found,,2023-01-26 14:09:04.567879,2023-01-26 14:09:04.567879,,
Travis County Sheriffs Officers Association,,traviscountytx.gov,royal,Not Found,Not Found,,2023-01-26 17:24:53.847588,2023-01-26 17:24:53.847588,,
*******,AU,*******,bianlian,Not Found,Not Found,,2023-01-26 19:28:38.981688,2023-01-26 19:28:38.981688,,
********* ******** ***** ***,,********* ******** ***** ***,bianlian,Not Found,Not Found,,2023-01-26 19:29:18.017538,2023-01-26 19:29:18.017538,,
Bristol Community College,,bristolcc.edu,vicesociety,Not Found,Not Found,,2023-01-26 23:19:32.105124,2023-01-26 23:19:32.105124,,
Helicar,,helicar,play,Not Found,Not Found,,2023-01-27 23:20:16.446066,2023-01-27 23:20:16.446066,,
EGR,AT,egr.at,vicesociety,Not Found,Not Found,,2023-01-28 02:48:55.654935,2023-01-28 02:48:55.654935,,
ylresin.com,TW,ylresin.com,lockbit,Not Found,Not Found,,2023-01-28 21:13:10.603617,2023-01-28 21:13:10.603617,,
Seguros Equinoccial,EC,segurosequinoccial.com,vicesociety,Not Found,Not Found,,2023-01-28 21:26:19.264797,2023-01-28 21:26:19.264797,,
azliver.com,,azliver.com,lockbit,Not Found,Not Found,,2023-01-29 13:28:48.764969,2023-01-29 13:28:48.764969,,
NPTC Group of Colleges,GB,nptcgroup.ac.uk,vicesociety,Not Found,Not Found,,2023-01-29 15:14:23.737507,2023-01-29 15:14:23.737507,,
perenitysoftware.com,,perenitysoftware.com,lockbit,Not Found,Not Found,,2023-01-30 05:21:17.890318,2023-01-30 05:21:17.890318,,
luacesasesores.es,ES,luacesasesores.es,lockbit,Not Found,Not Found,,2023-01-30 05:33:55.016059,2023-01-30 05:33:55.016059,,
fritsche.eu.com,,fritsche.eu.com,lockbit,Not Found,Not Found,,2023-01-30 05:36:03.780755,2023-01-30 05:36:03.780755,,
cm-vimioso.pt,PT,cm-vimioso.pt,lockbit,Not Found,Not Found,,2023-01-30 05:36:04.128954,2023-01-30 05:36:04.128954,,
thermal.com,,thermal.com,lockbit,Not Found,Not Found,,2023-01-30 05:36:04.400837,2023-01-30 05:36:04.400837,,
dsavocats.com,,dsavocats.com,lockbit,Not Found,Not Found,,2023-01-30 05:36:04.671837,2023-01-30 05:36:04.671837,,
airalbania.com.al,AL,airalbania.com.al,lockbit,Not Found,Not Found,,2023-01-30 05:36:04.942371,2023-01-30 05:36:04.942371,,
bulldoggroupinc.com,,bulldoggroupinc.com,lockbit,Not Found,Not Found,,2023-01-30 05:36:05.217663,2023-01-30 05:36:05.217663,,
cplindustries.co.uk,ES,cplindustries.co.uk,lockbit,Not Found,Not Found,,2023-01-30 05:36:05.487535,2023-01-30 05:36:05.487535,,
kvie.org,US,kvie.org,lockbit,Not Found,Not Found,,2023-01-30 05:36:05.755946,2023-01-30 05:36:05.755946,,
juvaskin.com,,juvaskin.com,lockbit,Not Found,Not Found,,2023-01-30 05:36:06.027712,2023-01-30 05:36:06.027712,,
itsservicios.com.mx,MX,itsservicios.com.mx,lockbit,Not Found,Not Found,,2023-01-30 05:36:06.296585,2023-01-30 05:36:06.296585,,
wealthwise.com.au,AU,wealthwise.com.au,lockbit,Not Found,Not Found,,2023-01-30 05:36:26.803733,2023-01-30 05:36:26.803733,,
fujikura.co.jp,JP,fujikura.co.jp,lockbit,Not Found,Not Found,,2023-01-30 07:24:22.871984,2023-01-30 07:24:22.871984,,
Bank of Africa,SN,bank of africa,medusa,Not Found,Not Found,,2023-01-30 15:05:52.267651,2023-01-30 15:05:52.267651,https://images.ransomware.live/screenshots/posts/98696a21e76eb052401f526853d5a019.png,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=6b1847720fc716a9e268d344d37f23bf
Scheppersinstituut Wetteren,,scheppers-wetteren.be,vicesociety,Not Found,Not Found,,2023-01-30 17:25:27.125787,2023-01-30 17:25:27.125787,,
municipality of Torre del Greco,IT,comune.torredelgreco.na.it,royal,Not Found,Not Found,,2023-01-30 23:18:26.506248,2023-01-30 23:18:26.506248,,
Okanagan College,CA,okanagan.bc.ca,vicesociety,Not Found,Not Found,,2023-01-30 23:19:25.119803,2023-01-30 23:19:25.119803,,
geraardsbergen.be,BE,geraardsbergen.be,lockbit,Not Found,Not Found,,2023-01-31 02:50:37.689844,2023-01-31 02:50:37.689844,,
tcels.or.th,TH,tcels.or.th,lockbit,Not Found,Not Found,,2023-01-31 03:05:45.715932,2023-01-31 03:05:45.715932,,
2cara.fr,FR,2cara.fr,lockbit,Not Found,Not Found,,2023-01-31 03:06:23.522735,2023-01-31 03:06:23.522735,,
Societa Italiana Brevetti SpA,IT,sib.it,vicesociety,Not Found,Not Found,,2023-01-31 17:26:27.122953,2023-01-31 17:26:27.122953,,
TechInsights,,semiconductor.com,vicesociety,Not Found,Not Found,,2023-01-31 17:28:54.680123,2023-01-31 17:28:54.680123,,
TK Elevator,,tkelevator.com,royal,Not Found,Not Found,,2023-02-01 07:22:10.759684,2023-02-01 07:22:10.759684,,
Guildford County School,GB,guildfordcounty.co.uk,vicesociety,Not Found,Not Found,,2023-02-01 07:23:02.030421,2023-02-01 07:23:02.030421,,
N** ******,,n** ******,bianlian,Not Found,Not Found,,2023-02-01 19:17:05.767291,2023-02-01 19:17:05.767291,,
pharmagestao.com.br,BR,pharmagestao.com.br,lockbit,Not Found,Not Found,,2023-02-02 02:38:08.823145,2023-02-02 02:38:08.823145,,
Casa Ley,MX,casaley.com.mx,royal,Not Found,Not Found,,2023-02-02 07:20:02.791027,2023-02-02 07:20:02.791027,,
iongroup.com,,iongroup.com,lockbit,Not Found,Not Found,,2023-02-02 09:21:02.020982,2023-02-02 09:21:02.020982,,
European Window,AU,european window,medusa,Not Found,Not Found,,2023-02-02 15:05:52.217085,2023-02-02 15:05:52.217085,,
MESSER CUTTING SYSTEMS,,us.messer-cutting.com,royal,Not Found,Not Found,,2023-02-02 17:33:07.426004,2023-02-02 17:33:07.426004,,
seelllc.com,,seelllc.com,lockbit,Not Found,Not Found,,2023-02-02 23:23:19.493962,2023-02-02 23:23:19.493962,,
byte.gr,GR,byte.gr,lockbit,Not Found,Not Found,,2023-02-02 23:28:50.924108,2023-02-02 23:28:50.924108,,
avantetextil.com.mx,MX,avantetextil.com.mx,lockbit,Not Found,Not Found,,2023-02-02 23:31:11.416353,2023-02-02 23:31:11.416353,,
transportsn.com,,transportsn.com,lockbit,Not Found,Not Found,,2023-02-02 23:31:57.658341,2023-02-02 23:31:57.658341,,
kostika.co.il,IL,kostika.co.il,lockbit,Not Found,Not Found,,2023-02-02 23:32:25.030519,2023-02-02 23:32:25.030519,,
guardiananalytics.com,,guardiananalytics.com,lockbit,Not Found,Not Found,,2023-02-03 03:46:51.261869,2023-02-03 03:46:51.261869,,
tonoli.com,,tonoli.com,lockbit,Not Found,Not Found,,2023-02-03 03:59:53.833706,2023-02-03 03:59:53.833706,,
sakrgroup.net,,sakrgroup.net,lockbit,Not Found,Not Found,,2023-02-03 04:05:15.969104,2023-02-03 04:05:15.969104,,
bethrivkah.edu,,bethrivkah.edu,lockbit,Not Found,Not Found,,2023-02-03 04:05:35.561659,2023-02-03 04:05:35.561659,,
scandia.ro,RO,scandia.ro,lockbit,Not Found,Not Found,,2023-02-03 04:06:09.155398,2023-02-03 04:06:09.155398,,
jjdentistry.com,,jjdentistry.com,lockbit,Not Found,Not Found,,2023-02-03 13:31:53.802841,2023-02-03 13:31:53.802841,,
EnCom,,encom,medusa,Not Found,Not Found,,2023-02-03 15:05:52.039937,2023-02-03 15:05:52.039937,,
PFA Systems,,pfa systems,medusa,Not Found,Not Found,,2023-02-03 15:05:52.078821,2023-02-03 15:05:52.078821,,
Elim Clinic,,elim clinic,medusa,Not Found,Not Found,,2023-02-03 15:05:52.128435,2023-02-03 15:05:52.128435,,
Elektro Richter,DE,elektro richter,medusa,Not Found,Not Found,,2023-02-03 15:05:52.168249,2023-02-03 15:05:52.168249,,
redfordpd.com,,redfordpd.com,lockbit,Not Found,Not Found,,2023-02-03 15:13:32.420711,2023-02-03 15:13:32.420711,,
Point Dedicated Services,,point dedicated services,play,Not Found,Not Found,,2023-02-03 19:18:23.538007,2023-02-03 19:18:23.538007,,
urmgroup.com.au,AU,urmgroup.com.au,lockbit,Not Found,Not Found,,2023-02-03 21:26:29.979604,2023-02-03 21:26:29.979604,,
virtuosgames.com,,virtuosgames.com,lockbit,Not Found,Not Found,,2023-02-03 23:14:04.000034,2023-02-03 23:14:04.000034,,
nexuspoint.com,CN,nexuspoint.com,lockbit,Not Found,Not Found,,2023-02-04 11:12:59.271535,2023-02-04 11:12:59.271535,,
bplawyers.co.id,ID,bplawyers.co.id,lockbit,Not Found,Not Found,,2023-02-05 11:17:51.476434,2023-02-05 11:17:51.476434,,
qsi-q3.de,DE,qsi-q3.de,lockbit,Not Found,Not Found,,2023-02-05 15:18:41.719453,2023-02-05 15:18:41.719453,,
etbrick.com,,etbrick.com,lockbit,Not Found,Not Found,,2023-02-06 13:44:43.519408,2023-02-06 13:44:43.519408,,
crispinvalve.com,,crispinvalve.com,lockbit,Not Found,Not Found,,2023-02-06 13:59:54.697209,2023-02-06 13:59:54.697209,,
nicklaus.com,JP,nicklaus.com,lockbit,Not Found,Not Found,,2023-02-06 14:08:24.616710,2023-02-06 14:08:24.616710,,
jams.edu.jo,,jams.edu.jo,lockbit,Not Found,Not Found,,2023-02-06 14:10:26.292790,2023-02-06 14:10:26.292790,,
medellin.gov.co,CO,medellin.gov.co,lockbit,Not Found,Not Found,,2023-02-06 15:13:32.647812,2023-02-06 15:13:32.647812,,
hkri.com,JP,hkri.com,lockbit,Not Found,Not Found,,2023-02-06 15:25:58.922364,2023-02-06 15:25:58.922364,,
INNOVATION COLLABORATION SYNERGY,,ics-nett.com,royal,Not Found,Not Found,,2023-02-06 15:29:59.477929,2023-02-06 15:29:59.477929,,
A*********,,a*********,bianlian,Not Found,Not Found,,2023-02-06 17:26:26.065550,2023-02-06 17:26:26.065550,,
A***,,a***,bianlian,Not Found,Not Found,,2023-02-06 17:26:55.801429,2023-02-06 17:26:55.801429,,
*r***** ********** ******** ***********,,*r***** ********** ******** ***********,bianlian,Not Found,Not Found,,2023-02-06 17:26:56.072576,2023-02-06 17:26:56.072576,,
"Woodmeister Master Builders, Inc.",,"woodmeister master builders, inc.",bianlian,Not Found,Not Found,,2023-02-06 17:26:56.348466,2023-02-06 17:26:56.348466,,
teleapps.com,,teleapps.com,lockbit,Not Found,Not Found,,2023-02-06 17:27:02.054173,2023-02-06 17:27:02.054173,,
AmerisourceBergen/Censora - MWI Animal Health,,amerisourcebergen/censora - mwi animal health,lorenz,Not Found,Not Found,,2023-02-06 17:38:16.656488,2023-02-06 17:38:16.656488,,
?C?,,?c?,play,Not Found,Not Found,,2023-02-06 23:19:19.480141,2023-02-06 23:19:19.480141,,
L?? C??e,,l?? c??e,play,Not Found,Not Found,,2023-02-06 23:20:20.961622,2023-02-06 23:20:20.961622,,
royalmailgroup.com,,royalmailgroup.com,lockbit,Not Found,Not Found,,2023-02-07 05:16:09.343972,2023-02-07 05:16:09.343972,,
The DGCX,AE,dgcx.ae,ransomhouse,Not Found,Not Found,,2023-02-07 13:05:17.534965,2023-02-07 13:05:17.534965,,
